Timestamp,Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,Think about a time when you felt particularly connected to the community or proud to live in Grinnell. Tell us.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?",What aspects of the Grinnell community (positive or negative) do people NOT talk about?,Are there questions we’re not asking that you think we should? Is there anything that you would like to share that you have not?,,Do you live in the city of Grinnell?,"If you are a student, please tell us where"
11/13/22 17:21,11,"We have met many friendly, interesting people here.  Leadership in Grinnell seems to be progressive.",The people we meet.,"The new police chief seems to be heading toward a more inclusive place after hiring a woman, a person of color, and now having three days a week a person available to help with cases involving mental health.",,"Yes, it seems so, although recent events at the college make us wonder how many in Grinnell do not feel included..",No comment.,,None,"We have been really upset at recent events at Grinnell College and have wondered how Grinnell could be more inclusive, to avoid such events.",No comment.,The move to include our own ambulance service and increase staffing in the fire department has been a very good decision.  It would be good if homelessness and poor-paying jobs could be addressed.,NA,We are retirees living at Mayflower.  We have been in Grinnell a little over 6 years.  We belong to the Unitarian/Quaker group in Grinnell.,"Homelessness, poor job opportunities for some, some way to attract the involvement of more peope (say sports-minded folks, for instance).","Mainly, how to involve a larger percentage of residents.  In the past, for instance, I know it has been hard to pass bond issues for schools, the library, etc.  How can we make more folks aware of the needs of the city and the need to pay for them?  Are too many people living on such low salaries that they really can't afford to have their taxes raised?  Perhaps a survey of local salaries would help answer these questions.",,,
11/14/22 10:17,12,More stores available than the small town we moved from. There’s a hospital and several grocery stores. ,Helping others through our ministry. Always plenty of activities if you want to participate. ,When we are delivering furniture and talking with other Grinnell residents. ,,I’m not sure.,We enjoy living here! ,,No not that I can think of,"Conflict in schools, constant diversity. We should be embracing diversity.",More restaurants ,I would have a store for our ministry and be able to furnish home furnishings to all who need them. ,I live here,"I have lived in Grinnell for eight years, I work here, go to church here and run a non-profit ministry here in Grinnell. ",The world wide opportunities at the college. ,None,,,
11/14/22 12:46,13,The community events like music in the park and the farmers market.,The potholes occasionally being fixed or at least patched.,Going to the homecoming parade and following event in the past has always had a strong sense of community.,,,,,,The roads are poorly maintained.,,"Repair old sidewalks, fund new school building, repairs to roads, public transit, and city grants for citizen lead community events.",,,The college trying their best to strong arm the city into doing things that will damage the community like by trying to remove 8th ave through the college even though it would greatly impede traffic through the community.,,,,
11/14/22 16:23,14,"connectedness of the community, prestige of the college","availability of resources (ex. medical, shopping/walmart), small-town convenience, and fellow students",my physical therapist and my coach have both lived here their whole lives and I think the fact that they have chosen to stick around is a testament to the community,,,,,,,,"more sustainable energy, more antiracist education ",,,,,,,
11/14/22 19:29,15,"Close knit community, perfect size for me, safe for my daughter and me ",Walk-ability,The thrift stores have happily supported my art business and the workers/owners/customers are always supportive and excited for my projects ,,"Community, support, family friendly ",The size of town and calmness is perfect ,,Nope,No dog parks!,Dog parks and indoor places for kids to play in winter ,"Better sidewalks, more indoor activities for families ",,Farmer/ artist/ homeschooling mom,The frequent disconnect between college students and permanent residents ,,,,
11/15/22 19:01,16,"College town, nice bustling downtown area, good Chinese restaurant ","Green space, low crime, relatively quiet",George Floyd memorial at UCC church,,Not sure. World feels so divided these days,N/A,,Not being able to pass a school bond. Racist incidents. Stench of nearby CAFOs.,All the above. And not having a dog park within city limits. Stopping the recycling program.,Dog park. More ethnic food.,,,"57 yr old single female working in non-profit for 44,000 annual salary ",,,,,
11/16/22 6:24,17,"I don't live in Grinnell, but wish I did.","When I am in Grinnell, which is several times a week, I love the cleanliness and beauty of the town.",When I have friends visit and we eat Pagliai's and then drive around town.  They are always amazed at how wonderful Grinnell is.,,The Golden Rule; Cleanliness is next to godliness; Be respectful.,not applicable,,"I will answer this question as if it said ""Have you considered shopping, dining out, and attending church elsewhere?""  Answer:  No.",Lack of nice places to eat out.  A person doesn't want pizza every time.,Target. I hate Walmart.,"Fix all the bumpy streets, get somebody to buy The Depot and have a wonderful restaurant again......",Good Technology,"I am retired and live on a farm.  I shop at many stores in Grinnell:  Fareway, HyVee, WalMart, Brown's Shoe Fit, Pioneer Book Store, Anna Kayte's, Vonda's Flowers, Studio 802, Total Choice, and others.  I am St. Mary parishioner.","Racism, prejudice against poor people.",Is the college going to own the whole town at some point??,,,
11/16/22 10:35,18,"Family; work/particularly with students; vibrant community with many varied activities throughout the year; easy access in shopping; hospital/dental services; sense of security; 100+People Who Care; local farmers/Farmers Market; library and all its programs; art and music programs/events; city appearance; city services like garbage pick-up, snow removal; recycling center/can recycling; city stores and shops",Sense of security; store workers who assist; work/engagement of Grinnell College with city; newspaper; volunteerism in many activities; beautiful downtown; hospital/dental access; ,"Donating through 100+People Who Care which donates about $13,000quarterly to area needs- my $100 quarterly goes into such a large pool of money that can make a real difference in a way my own donation could not. ",,This question does not make sense to me. Do you mean the administration of the city of Grinnell? Morals and ethics of our citizens? Some city strategic plan written somewhere? I have never read or seen anything about a set of core values that motivates us as citizens. I do not know of any forum where core values of been discussed/ modified. And a set of core values is meaningless unless there is consensus we will all follow what some group has devised. And we usually don’t.,Family; work; home; sense of security,,No,Finding independent contractors to do work at my house; slow response time from some city offices; seeing a lack of affordable houses/services for those in need;,"I have no outstanding needs at this time. But when I first moved here in 2018, finding rental property was a problem- the places I initially saw were in terrible and unsafe condition ( no smoke detectors, mold, poor upkeep, things out of code, etc). I almost did not move here because I could not find a decent place to rent . Fortunately, one of my family members knew somebody who knew somebody and I was able to move here. If that had not happened, I would not have chosen to live in the rental properties that I saw at the time.",An efficient water treatment plant/ city water services/ city sewer repairs…. anything related to water services. I have had to pay to install a water softener system in my home because Grinnell water is just awful. I do not drink Grinnell water because of its high mineral content and taste. ,N/A,Cashier/Grinnell College; volunteer at Drake Library; member Socrates Cafe,"Negative- “Town and Gown” relationships; the needs of the underserved/ homeless population; lack of psychiatric services/medical and dental services for underserved; housing options; minority population issues; 
Positive- Chamber of Commerce work; work of Grinnell College; helpfulness of most in town when any emergency arises ( like the derecho); free tree replacement; quick responses from the city administration office/public service office; good public works being done that I have no idea about",How can I help besides filling out a survey?  ,,,
11/16/22 10:45,19,"I love that I can easily ride my bike for errands and visit friends. I enjoy walking for exercise and riding my bike with Prairie Burners Gravel Riders. Proximity to Grinnell College where I have access to the Bear Athletic Center, enjoy talks by visiting speakers in various College departments, and access to the Museum. ",Outdoor activity and community of active and creative friends. Proximity and access to activities and events at the college. The comfortable atmosphere at the Brewhouse where we frequently meet friends.,"My husband and I moved to Grinnell two and a half years ago in the midst of the pandemic. We came to be close to his mother who lived at the Mayflower. She passed away in January 2022, and we appreciated the support at the hospital and also the funeral home. The Smith funeral home was very helpful and made the process easy for us, and even informed us that FEMA reimbursed funeral costs for loss of family members due to COVID 19. This information was not so easily available to others who found themselves in the same circumstances that I know of. I believe this experience is unique to Grinnell, and our situation. I hope other Grinnell community members less fortunate than us can have the same access to the kind of assistance we had. ",,"It seems one of the core values is one based on creative problem solving. I frequently encounter members of this community who are asking themselves and each other, ""What can be done about...... (fill in the blank)? There is true listening that happens. Follow thru great, but the conversation is there, with a positive/hopeful/creative attitude. ","Oh, good question.Riding bikes,  riding bikes on the gravel. Tai chi, book group, the weather (really).",,"Yes, definitely. 

Limited access to fresh, local food (we drive to Iowa City to go to the food coop). I often think of Grinnell as a ""food desert"". Affordable grocery stores such as Fareway, HiVee and Walmart import food (Iowa imports 90% of its food). MacNalley is the only grocery store that provides local food but the cost is out of reach for many in Grinnell. 

Unlike many other communities, the City of Grinnell has no program for curbside recycling and compost collection. 

The very sad state of the landscape which has changed drastically over the years due to large corporate farming practices. Corn and soybeans. That's it. These approaches are not sustainable and are contributing enormously to climate change. ",See above,"More sidewalks to encourage walking ALL over the city, and bike lanes since so many folks use their bikes here in Grinnell. ","Support local farms and sustainable farming practices within the greater Grinnell area. Provide bike lanes on major thoroughfares in the City, and add sidewalks (for example, 10th Avenue should have a sidewalk that runs ALL THE WAY from the college to Ahrens park. ",NA,"Active member of different activity groups: Tai Chi group, Prairie Burners, Sit n' Knit, Book groups","Lack of local food, and conservative politics. ",,,,
11/16/22 10:50,20,"Walkable, lots of entertainment (nature reserves, parks/playgrounds, taproom, restaurants)",Our friend group of like-minded people in a similar stage of life. ,Parades,,Maybe. I suspect that everyone in Grinnell wants the best life for their kids and families but I suspect that there is also a fair amount of political diversity and tribalism that leads to perceived (real or not) differences in shared values. ,"The community of individuals that form our friend group, our kids friends, and the amenities available to our family for an active lifestyle. ",,Hospital administrators ,Sometimes we appreciate eating at a different restaurant for variety. Otherwise our biggest frustrations are related to employment and the unnecessary departure of multiple talented physicians due to contract disagreements. ,Dog park maybe. ,"Wider sidewalks, bike lanes. ",N/A,Parent of young children with a career in healthcare,Racism,We love Grinnell. For us it’s a small town but with an unusual amount of family friendly amenities and diversity that help us to be socialized and entertained. ,,,
11/16/22 14:40,21,"The diversity of students who come here from all over the world, community free events, great playgrounds, the walkability of the town, dog-friendly and kid-friendly, knowing neighbors, knowing people in stores/pharmacist","My job working with college students, free community events for the family","I loved dancing story time at the library! It was wonderful to introduce my 2-year-old to performance in a fun, low-stakes way.",,"Honestly, I haven't since the pandemic. It seems like the past few years have really polarized our community. ","We own a house here, the expense/logistics of moving, time/energy investment in searching for a new job.",,"Acts of racism and antisemitism in town, and displaying of Confederate flags/other thinly veiled threats. Growing suspicious looks over the course of the pandemic, especially when wearing a mask. Being in a red state with gun culture. Lack of Jewish community, childcare, work options for spouse, workplace mobility, restaurant/store options, things to do, robust arts and culture scene, healthcare, trades people, etc. Concerns about school options for child, and that there isn't sufficient DEI strategy in the school system.","All the above, plus the limited stores we do have being closed on Sundays. (Repeating: Acts of racism and antisemitism in town, and displaying of Confederate flags/other thinly veiled threats. Growing suspicious looks over the course of the pandemic, especially when wearing a mask. Being in a red state with gun culture. Lack of Jewish community, childcare, work options for spouse, workplace mobility, restaurant/store options, things to do, robust arts and culture scene, healthcare, trades people, etc. Concerns about school options for child, and that there isn't sufficient DEI strategy in the school system.)","A synagogue, more restaurants (with delivery options!), more retailers, more childcare, more employment opportunities for people with just an undergraduate degree, professional theatre, Passover items in grocery stores (even if it's just matzoh).","Bring back curbside recycling, more pickup for yard waste, sidewalks on all city streets, affordable childcare, update school buildings in need of repair, more trees, expand the size of the aquatic center (it is soooo crowded!), improve communication strategy in town during crises, more restaurants and retailers to expand downtown offerings, synogogue and other sacred spaces for different religious traditions, partnerships with organizations that work to educate on the value of diversity.",,I work for the College in career services. I also live in town.,"As politics have become more polarized, so has our community. Acts of racism, bigotry, and antisemitism have become more common nationally, and are present here. It seems like things are tolerated here more, or just not discussed--maybe it's that fractured idea of ""Iowa nice."" I've never encountered teachers having to modify their teaching approach to appease white Christian parents, for example. Also, I would say that Iowa is aggressively Christian. People are more comfortable here talking about race-based bigotry than they are about religious discrimination.","Food for thought: How can we make Grinnell a place where everyone feels welcome and valued? How can we help children and adults value diversity, versus feeling threatened by it?",,,
11/18/22 10:44,22,There is a great public library and it's easy to drive around.,The library and the walking paths at Ahrens are good for my quality of life.,"I used to love the pizza nights at Heritage Farm. It felt like the best parts of a small, rural town come to life. ",,"I think Grinnell wants to say that they do--kindness, being welcoming, friendly community. I dont actually see that in practice for everyone. They are kind to those who have been here forever and are white.",Our jobs are here. That's why we stay.,,"We've considered moving more and more often over the past few years. 1) The increasing racism and confederate flags all over the town make it clear that this is not the kind of community with values I agree with and I am white--i'm pretty safe. Others are not. 2) There are terrible food options here. We are down to just a few fast food chains and a handful of restaurants. Other than the racism, the lack of good food options is one of the hardest parts of living in Grinnell. I like Saints Rest, but why is our only coffee shop in town only open until 5 p.m? This is a college town! It feels like the town is shrinking instead of growing. 3) This used to be a town I considered purple--there were town folks and college folks. Now there is the College side (that I'm on) and a very red, conservative town.","Everything I said in the ""consider leaving Grinnell"" and I will add the lack of movement in the school district when it comes to increasing diversity and inclusion initiatives. They hired an old white lady to do DEI work who's real knowledge is in curriculum because that's the position they really wanted filled. Many of the trucks driving around this town yelling at students of color are current high school boys who clearly aren't getting educated about DEI.","TARGET. Also, better and more restaurants and fast food locations. ",I would invest in making the downtown a travel destination (make it more attractive) and start luring in better well-known restaurants. I dont know how you fix the large racist population.,,,There isn't much to do here if you don't have kids.,,,,
11/18/22 12:08,23,Small town vibe with a fairly active community both business and pleasure,"Availability of restaurants & goods, high quality schools, activities available for all ages",Post derecho community effort simply helping neighbors,,"I wish Grinnell were more united in this way, but believe our community is ridiculously divided right now over a number of ideals: politics and general beliefs causing most of this, but it's interfering with, for example, support of local businesses in general. ",Na,,Work opportunities ,"Community division, loss of some restaurants,  schools facilities need upgraded, less ""college"" pressure on city and other decisions,  less college acquisition of downtown spaces","Restaurants,  reasonably budgeted school building for elementary/middle school ","Schools, fill in downtown spaces ",Na,Business owner downtown ,,,,,
11/18/22 13:27,24,"Relationships, Location, size","Access to amenities, safe community",Derecho disaster recovery ,,"Philanthropy, art, uniqueness, focus on higher education",Proximity to job ,,Housing,"Housing, challenge of brining people together around community vision/goals","Restaurants, Community center with an indoor pool","New restaurants & businesses, indoor pool separate from the college/community center, comprehensive bicycle trail, attractions/events bringing for residents and visitors",,"Represent major employer, Grinnell Chamber","Green space/parks, art focus",,,,
