Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?"
11,"We have met many friendly, interesting people here.  Leadership in Grinnell seems to be progressive.",The people we meet.,"The new police chief seems to be heading toward a more inclusive place after hiring a woman, a person of color, and now having three days a week a person available to help with cases involving mental health.","Yes, it seems so, although recent events at the college make us wonder how many in Grinnell do not feel included..",No comment.,,None,"We have been really upset at recent events at Grinnell College and have wondered how Grinnell could be more inclusive, to avoid such events.",No comment.,The move to include our own ambulance service and increase staffing in the fire department has been a very good decision.  It would be good if homelessness and poor-paying jobs could be addressed.,NA,We are retirees living at Mayflower.  We have been in Grinnell a little over 6 years.  We belong to the Unitarian/Quaker group in Grinnell.
12,More stores available than the small town we moved from. There’s a hospital and several grocery stores. ,Helping others through our ministry. Always plenty of activities if you want to participate. ,When we are delivering furniture and talking with other Grinnell residents. ,I’m not sure.,We enjoy living here! ,,No not that I can think of,"Conflict in schools, constant diversity. We should be embracing diversity.",More restaurants ,I would have a store for our ministry and be able to furnish home furnishings to all who need them. ,I live here,"I have lived in Grinnell for eight years, I work here, go to church here and run a non-profit ministry here in Grinnell. "
13,The community events like music in the park and the farmers market.,The potholes occasionally being fixed or at least patched.,Going to the homecoming parade and following event in the past has always had a strong sense of community.,,,,,The roads are poorly maintained.,,"Repair old sidewalks, fund new school building, repairs to roads, public transit, and city grants for citizen lead community events.",,
14,"connectedness of the community, prestige of the college","availability of resources (ex. medical, shopping/walmart), small-town convenience, and fellow students",my physical therapist and my coach have both lived here their whole lives and I think the fact that they have chosen to stick around is a testament to the community,,,,,,,"more sustainable energy, more antiracist education ",,
15,"Close knit community, perfect size for me, safe for my daughter and me ",Walk-ability,The thrift stores have happily supported my art business and the workers/owners/customers are always supportive and excited for my projects ,"Community, support, family friendly ",The size of town and calmness is perfect ,,Nope,No dog parks!,Dog parks and indoor places for kids to play in winter ,"Better sidewalks, more indoor activities for families ",,Farmer/ artist/ homeschooling mom
16,"College town, nice bustling downtown area, good Chinese restaurant ","Green space, low crime, relatively quiet",George Floyd memorial at UCC church,Not sure. World feels so divided these days,N/A,,Not being able to pass a school bond. Racist incidents. Stench of nearby CAFOs.,All the above. And not having a dog park within city limits. Stopping the recycling program.,Dog park. More ethnic food.,,,"57 yr old single female working in non-profit for 44,000 annual salary "
17,"I don't live in Grinnell, but wish I did.","When I am in Grinnell, which is several times a week, I love the cleanliness and beauty of the town.",When I have friends visit and we eat Pagliai's and then drive around town.  They are always amazed at how wonderful Grinnell is.,The Golden Rule; Cleanliness is next to godliness; Be respectful.,not applicable,,"I will answer this question as if it said ""Have you considered shopping, dining out, and attending church elsewhere?""  Answer:  No.",Lack of nice places to eat out.  A person doesn't want pizza every time.,Target. I hate Walmart.,"Fix all the bumpy streets, get somebody to buy The Depot and have a wonderful restaurant again......",Good Technology,"I am retired and live on a farm.  I shop at many stores in Grinnell:  Fareway, HyVee, WalMart, Brown's Shoe Fit, Pioneer Book Store, Anna Kayte's, Vonda's Flowers, Studio 802, Total Choice, and others.  I am St. Mary parishioner."
18,"Family; work/particularly with students; vibrant community with many varied activities throughout the year; easy access in shopping; hospital/dental services; sense of security; 100+People Who Care; local farmers/Farmers Market; library and all its programs; art and music programs/events; city appearance; city services like garbage pick-up, snow removal; recycling center/can recycling; city stores and shops",Sense of security; store workers who assist; work/engagement of Grinnell College with city; newspaper; volunteerism in many activities; beautiful downtown; hospital/dental access; ,"Donating through 100+People Who Care which donates about $13,000quarterly to area needs- my $100 quarterly goes into such a large pool of money that can make a real difference in a way my own donation could not. ",This question does not make sense to me. Do you mean the administration of the city of Grinnell? Morals and ethics of our citizens? Some city strategic plan written somewhere? I have never read or seen anything about a set of core values that motivates us as citizens. I do not know of any forum where core values of been discussed/ modified. And a set of core values is meaningless unless there is consensus we will all follow what some group has devised. And we usually don’t.,Family; work; home; sense of security,,No,Finding independent contractors to do work at my house; slow response time from some city offices; seeing a lack of affordable houses/services for those in need;,"I have no outstanding needs at this time. But when I first moved here in 2018, finding rental property was a problem- the places I initially saw were in terrible and unsafe condition ( no smoke detectors, mold, poor upkeep, things out of code, etc). I almost did not move here because I could not find a decent place to rent . Fortunately, one of my family members knew somebody who knew somebody and I was able to move here. If that had not happened, I would not have chosen to live in the rental properties that I saw at the time.",An efficient water treatment plant/ city water services/ city sewer repairs…. anything related to water services. I have had to pay to install a water softener system in my home because Grinnell water is just awful. I do not drink Grinnell water because of its high mineral content and taste. ,N/A,Cashier/Grinnell College; volunteer at Drake Library; member Socrates Cafe
19,"I love that I can easily ride my bike for errands and visit friends. I enjoy walking for exercise and riding my bike with Prairie Burners Gravel Riders. Proximity to Grinnell College where I have access to the Bear Athletic Center, enjoy talks by visiting speakers in various College departments, and access to the Museum. ",Outdoor activity and community of active and creative friends. Proximity and access to activities and events at the college. The comfortable atmosphere at the Brewhouse where we frequently meet friends.,"My husband and I moved to Grinnell two and a half years ago in the midst of the pandemic. We came to be close to his mother who lived at the Mayflower. She passed away in January 2022, and we appreciated the support at the hospital and also the funeral home. The Smith funeral home was very helpful and made the process easy for us, and even informed us that FEMA reimbursed funeral costs for loss of family members due to COVID 19. This information was not so easily available to others who found themselves in the same circumstances that I know of. I believe this experience is unique to Grinnell, and our situation. I hope other Grinnell community members less fortunate than us can have the same access to the kind of assistance we had. ","It seems one of the core values is one based on creative problem solving. I frequently encounter members of this community who are asking themselves and each other, ""What can be done about...... (fill in the blank)? There is true listening that happens. Follow thru great, but the conversation is there, with a positive/hopeful/creative attitude. ","Oh, good question.Riding bikes,  riding bikes on the gravel. Tai chi, book group, the weather (really).",,"Yes, definitely. 

Limited access to fresh, local food (we drive to Iowa City to go to the food coop). I often think of Grinnell as a ""food desert"". Affordable grocery stores such as Fareway, HiVee and Walmart import food (Iowa imports 90% of its food). MacNalley is the only grocery store that provides local food but the cost is out of reach for many in Grinnell. 

Unlike many other communities, the City of Grinnell has no program for curbside recycling and compost collection. 

The very sad state of the landscape which has changed drastically over the years due to large corporate farming practices. Corn and soybeans. That's it. These approaches are not sustainable and are contributing enormously to climate change. ",See above,"More sidewalks to encourage walking ALL over the city, and bike lanes since so many folks use their bikes here in Grinnell. ","Support local farms and sustainable farming practices within the greater Grinnell area. Provide bike lanes on major thoroughfares in the City, and add sidewalks (for example, 10th Avenue should have a sidewalk that runs ALL THE WAY from the college to Ahrens park. ",NA,"Active member of different activity groups: Tai Chi group, Prairie Burners, Sit n' Knit, Book groups"
20,"Walkable, lots of entertainment (nature reserves, parks/playgrounds, taproom, restaurants)",Our friend group of like-minded people in a similar stage of life. ,Parades,Maybe. I suspect that everyone in Grinnell wants the best life for their kids and families but I suspect that there is also a fair amount of political diversity and tribalism that leads to perceived (real or not) differences in shared values. ,"The community of individuals that form our friend group, our kids friends, and the amenities available to our family for an active lifestyle. ",,Hospital administrators ,Sometimes we appreciate eating at a different restaurant for variety. Otherwise our biggest frustrations are related to employment and the unnecessary departure of multiple talented physicians due to contract disagreements. ,Dog park maybe. ,"Wider sidewalks, bike lanes. ",N/A,Parent of young children with a career in healthcare
21,"The diversity of students who come here from all over the world, community free events, great playgrounds, the walkability of the town, dog-friendly and kid-friendly, knowing neighbors, knowing people in stores/pharmacist","My job working with college students, free community events for the family","I loved dancing story time at the library! It was wonderful to introduce my 2-year-old to performance in a fun, low-stakes way.","Honestly, I haven't since the pandemic. It seems like the past few years have really polarized our community. ","We own a house here, the expense/logistics of moving, time/energy investment in searching for a new job.",,"Acts of racism and antisemitism in town, and displaying of Confederate flags/other thinly veiled threats. Growing suspicious looks over the course of the pandemic, especially when wearing a mask. Being in a red state with gun culture. Lack of Jewish community, childcare, work options for spouse, workplace mobility, restaurant/store options, things to do, robust arts and culture scene, healthcare, trades people, etc. Concerns about school options for child, and that there isn't sufficient DEI strategy in the school system.","All the above, plus the limited stores we do have being closed on Sundays. (Repeating: Acts of racism and antisemitism in town, and displaying of Confederate flags/other thinly veiled threats. Growing suspicious looks over the course of the pandemic, especially when wearing a mask. Being in a red state with gun culture. Lack of Jewish community, childcare, work options for spouse, workplace mobility, restaurant/store options, things to do, robust arts and culture scene, healthcare, trades people, etc. Concerns about school options for child, and that there isn't sufficient DEI strategy in the school system.)","A synagogue, more restaurants (with delivery options!), more retailers, more childcare, more employment opportunities for people with just an undergraduate degree, professional theatre, Passover items in grocery stores (even if it's just matzoh).","Bring back curbside recycling, more pickup for yard waste, sidewalks on all city streets, affordable childcare, update school buildings in need of repair, more trees, expand the size of the aquatic center (it is soooo crowded!), improve communication strategy in town during crises, more restaurants and retailers to expand downtown offerings, synogogue and other sacred spaces for different religious traditions, partnerships with organizations that work to educate on the value of diversity.",,I work for the College in career services. I also live in town.
22,There is a great public library and it's easy to drive around.,The library and the walking paths at Ahrens are good for my quality of life.,"I used to love the pizza nights at Heritage Farm. It felt like the best parts of a small, rural town come to life. ","I think Grinnell wants to say that they do--kindness, being welcoming, friendly community. I dont actually see that in practice for everyone. They are kind to those who have been here forever and are white.",Our jobs are here. That's why we stay.,,"We've considered moving more and more often over the past few years. 1) The increasing racism and confederate flags all over the town make it clear that this is not the kind of community with values I agree with and I am white--i'm pretty safe. Others are not. 2) There are terrible food options here. We are down to just a few fast food chains and a handful of restaurants. Other than the racism, the lack of good food options is one of the hardest parts of living in Grinnell. I like Saints Rest, but why is our only coffee shop in town only open until 5 p.m? This is a college town! It feels like the town is shrinking instead of growing. 3) This used to be a town I considered purple--there were town folks and college folks. Now there is the College side (that I'm on) and a very red, conservative town.","Everything I said in the ""consider leaving Grinnell"" and I will add the lack of movement in the school district when it comes to increasing diversity and inclusion initiatives. They hired an old white lady to do DEI work who's real knowledge is in curriculum because that's the position they really wanted filled. Many of the trucks driving around this town yelling at students of color are current high school boys who clearly aren't getting educated about DEI.","TARGET. Also, better and more restaurants and fast food locations. ",I would invest in making the downtown a travel destination (make it more attractive) and start luring in better well-known restaurants. I dont know how you fix the large racist population.,,
23,Small town vibe with a fairly active community both business and pleasure,"Availability of restaurants & goods, high quality schools, activities available for all ages",Post derecho community effort simply helping neighbors,"I wish Grinnell were more united in this way, but believe our community is ridiculously divided right now over a number of ideals: politics and general beliefs causing most of this, but it's interfering with, for example, support of local businesses in general. ",Na,,Work opportunities ,"Community division, loss of some restaurants,  schools facilities need upgraded, less ""college"" pressure on city and other decisions,  less college acquisition of downtown spaces","Restaurants,  reasonably budgeted school building for elementary/middle school ","Schools, fill in downtown spaces ",Na,Business owner downtown 
24,"Relationships, Location, size","Access to amenities, safe community",Derecho disaster recovery ,"Philanthropy, art, uniqueness, focus on higher education",Proximity to job ,,Housing,"Housing, challenge of brining people together around community vision/goals","Restaurants, Community center with an indoor pool","New restaurants & businesses, indoor pool separate from the college/community center, comprehensive bicycle trail, attractions/events bringing for residents and visitors",,"Represent major employer, Grinnell Chamber"
25,"The size of the community is big enough, but not too big
Ease of getting around town without a car.
Community supportive of the arts.
Recreational opportunities.(e.g. the College providing us old folks access to its stunning athletic facilities for $35/year!)
The presence of the College generally for all the diversity and opportunities it provides.
A local newspaper.",Groups of people who have welcomed us and provided opportunities to engage with them. Specifically the ceramic group at the STEW and the Prairie Burners gravel bikers,When I helped out handing out awards as riders finished the Prairie Burn bicycle ride.,"It appears that there are people who are working to maintain Grinnell as a viable business community despite the pressures imposed by Walmart and other chain stores that have pulled economic traffic out of town. There must be support for businesses occupying store fronts downtown. Development and maintenance of the Central Park area and seasonal decoration of business district throughout the year helps. The College shows an obvious commitment towards integration, at least physically, in the town, which helps both the town and the College. I’ve always thought that Iowans generally tend to find validation when chain restaurants and businesses take up occupancy in their communities. I think that Grinnell may have resisted that trend, or maybe Grinnell is too small for much of that to happen here, but the lack of a typical American strip of such businesses is an asset in my opinion.",We stayed because places we were interested in moving to were too expensive to afford the kind of house we were looking for. The lack of serious water supply and fire issues were other factors.,,It is difficult living in a factory. Grinnell is not big enough to avoid the continual reminder of the degradation of the environment by the dominant agricultural industry. That people accept that and even talk about how the “farmers” are working hard to provide our food is disturbing,"The lack of an ethnically diverse community, and along with that ethnically diverse dining options.

The relative paucity of local produce and meat at the grocery stores. I think that some city resources should be put towards supporting local food producers who struggle because most folks in Grinnell can’t or won’t afford to pay the prices that allow such farmers to make a living wage. I was surprised to read in the Herald Register that Grinnell actually owns 5 farms in the surrounding area that are managed by someone hired by the town - if memory serves - to support local folks who are food insecure. I wondered about how much of the production of those farms is actually human food rather than ethanol or diesel fuel or high fructose corn syrup.(It would frustrate me to find out that the management of those farms was not being done sustainably). It seems like a great opportunity for the town to support five young farm families who could work toward providing people in the town of Grinnell with  human food locally grown on small parcels of those farms.

I do a lot of walking throughout the year and I appreciate that the majority of Grinnell streets seem to have sidewalks, notably in the older parts of town, but the lack of sidewalks particularly on streets leading to some of the very nice parks in town is a real frustration, and more than that, a threat to my safety and a deterrence to other Grinnellians to get out. I can generate resentment when I’m tromping through slush in the street about the fact that I am expected to clear ice and snow from the sidewalk in front of my home, because I happen to live in a place where there is a sidewalk, while folks who have no sidewalk also have no community responsibility to maintain a passable track in front of their house. How is that fair? And while I’m at it, I find it annoying that I’m expected to keep my lawn mowed to less than 8 inches, and the City will charge me for mowing if I neglect to, but I’ve seen little effort by the City to similarly enforce a policy about maintaining a passable sidewalk - there are lots of places where shrubbery and trees present obstacles to safe passage on our sidewalks.
","Greater ethnic and cultural diversity.

Strong support for locally produced food and food processing - a community center with staff and commercially certified facilities where food growers (farmers and gardeners) could “put up” (freeze, can, etc) food in times of plenty. I’ve seen such places in rural NY.
","I’d start with my ideas above re: food. Support local growers - subsidize their food production and create facilities for food processing.
 
Then move on the sidewalk issue. First build the sidewalks in places where there are none. Since the folks that are unaccustomed to shoveling sidewalks will resent their new responsibility I think the City should purchase a fleet of electric-powered snow removal machines and hire the staff to clear all the walks in town. That might encourage more folks to get out.

",,Retired former professor newly returned to Grinnell
26,"Mostly nice people, easy to get around, feels safe (except for people of color)","Nice people, stable job",Maybe a Jingle Bell Holiday several years ago,"Good question, which I’ve actually been asking myself a lot lately because of feeling a strong community identity when we travel to other schools for events. It feels like there are pockets of groups that have shared core values & identities, (i.e. college faculty & higher paid staff or he business/country club set) but it’s hard to feel/see/experience a more unified community identity. I also see this missing in our school’s mindsets & why increasingly more of our students feel “meh” about our community & getting involved. ",My husband doesn’t like change & moving. Jobs are decent & stable.,,"Stagnant salaries (including at the college), want getter job options, boring, hard to connect with/find other outdoorsy people to become friends with so it’s lonely here, college gets some interesting employees but it doesn’t pay to invest in friendships because they often leave within a couple years, but it’s hard to fit in with the business crowd when we’re on a tighter budget, can’t break into area natives since they already have tight knit families, lack of type of entertainment we enjoy","Property taxes seem high, failed school bonds that hurt our children & community’s long-term success ",,"New elementary & middle schools, more equipment & facilities support for girls’ sports, different types of restaurants (like Decorah has)",,Education 
27,It feels safe,,,,,,,When we were told we couldn’t advertise Jeld wen hiring with yard signs or even in our home window. Why??,"A Kwik star. More places to eat, more entertainment  ",Fix the roads,,
28,"Grinnell College, downtown Grinnell, people in Grinnell, Drake Library, Grinnell Unity Point, summer music in the park, Grinnell city services, location on I-80 (close to DM and IC), Grinnell Newburg School District",Living in a town that is small enough that you can know people in one aspect of your life that you run into in other aspects of your life. This allows for a greater feeling of belonging.,can't think of a specific instance,"no, not that I know of - nothing unique that other cities don't also claim",Yes I do consider leaving frequently.  I stay because my wife wants to stay.,,"I have lived in Grinnell for 19 years and still feel like an outsider.  I don't remember the old A&W Root Beer place, don't have buddies who went to GHS or whose sisters were in my class. If it weren't for the college, Grinnell would just be another declining farm town with nothing much to say for itself. ","Well, not to be negative, but because you asked, 
NUMBER ONE: Of all the places where I have spent any significant time, Grinnell is the only place that has numbered avenues where the addresses do not follow the block numbers (1234 Main Street isn't on the block between 12th and 13th Avenue I realized when I first moved here.  What were the people who planned the street grid thinking?  Hadn't they ever been in another city?

The current school board is backward and town is unwilling to  invest in education. Town is quite insular, really.  If it ain't broke, don't fix it attitude.  Lack of non-college related diversity.  

I have to say, Grinnell has a super-inflated opinion of itself. If it wasn't for the college, Grinnell would be a pretty sad place. Have you ever been to Keokuk?  That would be Grinnell without a college. Run down neighborhoods - just because you are poor you don't have to have a yard full of junk, debris and cars parked on the grass.

Sorry, but you asked.",More medical specialists - that is ones who would stay here. A mens clothing store or two.  More movie screens.  Ethnic eateries and festivals.  ,"If funds were unlimited, the majority of people in Grinnell would still not want to spend it and would say,  ""Since we have all this money we should have our taxes lowered."" ",not applicable,
29,Size of the community makes it easy to get involved; easy to meet people that share your core values but also be able to interact with folks that have differing opinions,Accessibility,"I have lived in Grinnell 10 years full time - with each year, I feel more connected.  I have met many great people and I am honored to serve the community",I am not sure; there's a divide between the community steeped in agriculture and the college.,Not applicable - I am married to a long time resident,,Not applicable,Lack of city support for development; lack of city code enforcement; blighted areas; lack of housing initiatives,Robust retail & restaurants; amenities,"Investment in growth & vitality, services, housing, cooperation amongst various entities including but not limited to the county & city",NA,Retired Manager of Deere & Company; Hospital board chair; Developer/investor in real estate
30,"Having a great resource called Mica, Drake library that shows many great resources.",Mica.,By participating or helping other people with things and not worry about someone trying to be nasty and say no.,Helping the community and helping all families with some kind of troubles. Helping each other out.,"Community, nice people we have met, resources.",,"Having some variety of people be disrespectful to others who are being courteous. Also when they walk in front of a moving vehicle when they know they don’t have enough time to cross along with vehicles driving normally slow until pedestrians do walk across the road when there is time. The vehicle that was slow, will all of a sudden, speed up. Our concern is traffic and safety, navigation of not knowing name of streets.

Have more information that everyone needs to know when they live here like ultities, recycle and etc… not everyone has internet or knows how to operate the internet.","Traffic, some people with no common sense that think they own the road when it comes to craossibg, more resources pirated manually because there are many people who have no idea for to operate and have access to the internet.",Same as above.,"Traffic, resources to help famili d pay for groceries,’and many more.","Traffic, safety, more resources to hep families  and everyone.","Hi! I am a stay at home mom with two children. My husband works. We’ve lived in Grinnell a little over three years.

The resources I have researched and found for my family is beneficial and a great resource to help my family stay above water as we don’t have the money to be spending on things that we would like. But we are learning to conserve and continue to learn more resources in Grinnell."
31,"Smaller close, community. Safer than big cities but close to drive to cities. I grew up here.",Small community,During the Derecho Grinnell really pulled together,,Family in Grinnell,,"Not enough good paying jobs, restaurants, retail. Mainly jobs. We need more factories and such with a good wage. Doesn't matter how many we have. That is what draws people to move to town.","We have not grown in population much in years. We NEED more companies and factories that pay well. Grinnell has passed on too many things we could of had. Good jobs attract people which in turn helps everything else, money for schools, more restaurants, retail etc. The town has passed up too many businesses (companies over the years}",More restaurants and retail. However we need more job opportunities for people so we can support these things.,"I would rebuild the Veterans building. Make it a rental space for wedding, parties etc. Plus have a place for veterans to hang out together. I would buy the Depot and make it a wedding destination. Also have the bar/lounge open when not rented and have live music for people to enjoy. I would buy the masonic Temple building and put a restaurant up stairs and stores on the bottom floor. Also, lure factories and companies some how to town.",,
